1	15
2	1
3	19
4	7
5	24
6	1
7	21
8	12
9	1
10	12
11	11
12	12
13	20
14	26
15	28
16	28
17	14
18	10
19	9
20	3
21	9
22	27
23	29
24	11
25	20
26	15
27	19
28	6
30	16
32	3
33	3
34	5
35	1
37	12
38	14
39	3
40	19
41	21
42	20
43	6
44	9
45	14
46	17
47	28
48	16
49	22
50	15
51	8
52	24
53	2
54	24
55	10
56	28
57	21
58	25
59	8
60	10
61	11
62	14
63	27
64	21
65	6
66	7
67	24
68	18
69	14
70	19
72	17
73	26
74	19
75	24
76	8
77	13
78	5
79	13
80	21
81	11
82	17
83	10
84	9
85	6
86	22
87	5
88	6
89	24
90	16
91	1
92	24
93	10
94	8
95	21
96	29
97	3
98	28
99	19
100	27
101	11
102	2
103	14
104	2
105	19
106	6
107	16
108	12
109	17
110	19
111	28
112	6
113	26
114	18
115	23
116	7
117	19
118	19
119	25
120	29
121	23
122	27
123	26
124	18
125	8
126	29
127	20
128	12
129	25
130	22
131	26
132	28
133	8
134	17
135	12
136	29
137	20
138	6
139	15
140	1
141	14
142	17
143	23
144	15
146	14
147	14
148	1
149	16
150	11
151	23
152	2
153	5
154	17
156	9
157	18
158	21
159	1
160	7
161	10
162	24
163	21
164	8
165	28
166	17
167	30
168	27
169	3
170	9
171	13
172	13
173	18
174	16
175	21
177	28
178	8
179	8
180	21
181	4
182	18
183	30
184	23
185	15
187	30
188	1
189	18
190	1
191	15
192	28
193	8
194	16
195	5
196	8
197	23
198	4
199	4
200	12
201	13
202	14
203	28
204	29
205	18
206	20
208	14
209	4
210	16
211	22
212	27
213	28
214	15
215	28
216	16
217	28
219	20
220	24
221	20
222	16
223	1
224	26
225	5
226	10
227	2
228	4
229	26
230	26
231	11
232	4
233	23
234	1
236	5
237	13
239	26
241	8
243	25
244	17
245	18
246	26
247	18
248	20
249	23
250	17
251	24
252	6
253	30
254	27
255	3
256	27
257	15
258	30
259	15
260	6
261	1
262	5
263	14
264	28
265	6
266	19
267	22
268	5
269	7
270	30
271	7
273	11
274	12
275	10
276	9
277	28
278	23
279	27
280	3
281	17
282	12
283	12
284	22
285	10
286	14
287	19
289	16
290	4
291	14
292	29
293	7
294	25
295	24
296	3
297	5
298	28
299	9
300	8
302	29
303	23
304	25
305	14
306	8
308	12
309	12
310	11
311	25
312	7
313	17
314	18
315	10
316	28
318	20
319	27
320	11
321	1
322	19
324	19
325	14
326	20
328	12
329	21
330	24
331	30
332	21
333	6
334	13
335	10
337	14
339	1
341	11
342	8
343	6
344	21
346	4
347	17
348	12
349	27
350	17
351	13
352	19
353	1
354	16
355	10
356	7
